Auxiliary Boilers A/B Feed Water Header Pressure 2,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Heat Recovery System Header Pressure.1,Lube Oil Cooler Outlet Temperature,Lube Oil Tank Temperature,Motor Current Phase A,Motor Current Phase B,Motor Current Phase C,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 1 Bearing Temperature,Pump Journal 2 Bearing Temperature,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Pressure 2,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1,Pump Thrust Bearing Temperature 2,Pump Radial Bearing Vibration
1304.138916,1307.129395,301082.625,303024.0625,1777.74231,1782.099243,70.84277344,75.93920135,145.5771332,146,144.288559,NaN,NaN,4232.865723,1789.406616,857.7807617,137.0227509,144.2450714,3589.308838,24.90124893,16.85629845,0.287498921,226.7046356,98.25693512,86.23188019,9.443582535
1307.317505,1307.62085,300784.4688,304102.8125,1777.429443,1781.789551,70.83545685,75.91933441,145.6936035,146,144,NaN,NaN,4238,1789.409302,859.5045776,137.0205688,144.2440186,3589.30957,25.00581741,16.85571289,0.287888765,226.7038879,98.26089478,86.22534943,9.427959442
1303.364746,1307.781006,300783.0625,303728.375,1777.116577,1781.479858,70.82814789,75.89945984,145.3056641,146,144.3056641,NaN,NaN,4230.445313,1789.411865,855.4569092,137.0184021,144.2429657,3589.310059,24.97656631,16.85512733,0.28827861,226.7031403,98.26486206,86.21881866,9.412336349
1293.877075,1294.928955,301715.4063,304012.0938,1776.803711,1781.170166,70.82083893,75.8795929,146.6300507,146.815033,145.815033,NaN,NaN,4231.225586,1789.414551,862.6612549,137.0162354,144.2418976,3589.310547,24.95320129,16.85454178,0.288668454,226.7023773,98.26882935,86.2122879,9.396713257
1293.740967,1293.398071,300653.9063,302401.625,1776.490845,1780.860474,70.81352234,75.85972595,146,147,145,NaN,NaN,4229.300293,1789.417114,858.4469604,137.0140533,144.2408447,3589.311035,24.94653893,16.85395622,0.289058298,226.7016296,98.272789,86.20575714,9.381091118
1293.604858,1291.867065,300851.8125,303268.3125,1776.178101,1780.550781,70.80621338,75.83985138,145.3072052,146.3050079,144.3072052,NaN,NaN,4246.39209,1789.4198,857.342041,137.0118866,144.2397919,3589.311523,24.93987465,16.85337257,0.289448142,226.7008667,98.27675629,86.19921875,9.365468025
1291.801147,1290.336182,300895.0313,303484.8125,1775.865234,1780.241089,70.79889679,75.81998444,147,148,146,NaN,NaN,4251,1789.422363,856.0626831,137.0097198,144.2387238,3589.312012,24.93321228,16.85278702,0.289837986,226.700119,98.28071594,86.20187378,9.349844933
1288.02832,1289.189087,301738.875,304780.1875,1775.552368,1779.931396,70.79158783,75.80010986,146.7211914,146.7211914,145,NaN,NaN,4233.788086,1789.425049,863.9147339,137.0075378,144.2376709,3589.3125,24.92832756,16.85220146,0.29022783,226.6993561,98.28468323,86.2321167,9.369427681
1289.909424,1288.096069,301817.2813,303310.1563,1775.239502,1779.621704,70.78427124,75.78024292,146.3040466,146.3040466,145,NaN,NaN,4234,1789.420288,862.5368652,137.0053711,144.2366028,3589.313232,24.92372894,16.85161591,0.290617704,226.6986084,98.28865051,86.26235962,9.394684792
1284.266479,1285.890869,301782.9688,305722.375,1774.926636,1779.312012,70.77696228,75.76037598,146.3057404,146.3057404,144.6089478,NaN,NaN,4241.737305,1789.414185,871.6524048,137.0032043,144.2355499,3589.313721,24.91913223,16.85103035,0.291007549,226.6978455,98.29261017,86.29261017,9.419942856
1280.615967,1280.951782,303501.2188,306518.3438,1774.753784,1779.306641,70.76964569,75.7405014,147,147,146,NaN,NaN,4237,1789.407959,875.8572388,137.0010376,144.2344971,3589.314209,24.91453362,16.85044479,0.291397393,226.6970978,98.29657745,86.32285309,9.445199966
1281.82251,1284.383667,302491.25,305512.0313,1775.008911,1779.350708,70.76233673,75.72063446,147.1877594,148,146.1877594,NaN,NaN,4243.620117,1789.401855,880.949585,136.9988556,144.233429,3589.314697,24.909935,16.84985924,0.291594058,226.6963348,98.30053711,86.35309601,9.470457077
1285.801758,1287.815674,301481.3125,304215.125,1775.263916,1779.394775,70.77274323,75.70076752,148,148,146,NaN,NaN,4236.23877,1789.395752,869.8898926,136.9966888,144.2323761,3589.315186,24.90533638,16.84927559,0.291241258,226.6955872,98.30450439,86.38333893,9.495714188
1289.781128,1291.247559,301938.625,303467.6875,1775.519043,1779.438843,70.80390167,75.68089294,147.3863525,147.6931763,145.6931763,NaN,NaN,4234.068359,1789.389648,869.9221802,136.9945221,144.2313232,3589.315674,24.90073967,16.84869003,0.290888458,226.6948395,98.30847168,86.41358948,9.520971298
1293.760498,1294.679443,300878.875,303516.875,1775.774048,1779.48291,70.83506012,75.66106415,147,148,146,NaN,NaN,4222,1789.383545,871.9819336,136.9923401,144.2302551,3589.316406,24.91316986,16.84810448,0.290535688,226.6940765,98.31243134,86.4438324,9.546229362
1297.739868,1298.11145,302120.4375,303743.5625,1776.029175,1779.5271,70.86621857,75.68875885,147,147.2822266,146.2822266,NaN,NaN,4239.435547,1789.377441,869.5632935,136.9901733,144.2292023,3589.316895,24.92834473,16.84751892,0.290182889,226.6933289,98.31639862,86.47407532,9.571486473
1301.719238,1301.543335,300469.9688,301804.4375,1776.284302,1779.571167,70.89737701,75.71645355,146.3049011,147.3049011,145.3049011,NaN,NaN,4235.390137,1789.371338,867.0687866,136.9880066,144.2281342,3589.317383,24.95115852,16.84693336,0.289830118,226.6925659,98.32036591,86.50431824,9.596743584
1305.698486,1304.97522,300365.75,302204.5625,1776.539307,1779.615234,70.92853546,75.74414063,145.3093567,146,144.308075,NaN,NaN,4233.691895,1789.365234,864.1813965,136.9858246,144.2270813,3589.317871,24.98228645,16.84634781,0.289477319,226.6918182,98.32432556,86.53456879,9.622000694
1309.677856,1308.407104,300576.3125,303184.875,1776.794434,1779.659302,70.95969391,75.77183533,147.8119659,147.8119659,145.8119659,NaN,NaN,4234.187988,1789.359009,863.3810425,136.9836578,144.2260284,3589.318359,24.84597778,16.84576225,0.289124519,226.6910553,98.32829285,86.56481171,9.635123253
1313.657227,1311.839111,301889.7188,303965.5313,1777.049438,1779.703369,70.99085236,75.79953003,146.6962128,147.6912689,145.6912689,NaN,NaN,4232.912598,1789.352905,864.8616943,136.9814911,144.2249603,3589.318848,25.03785133,16.8451786,0.288771749,226.6903076,98.3322525,86.59505463,9.613995552
1314.790405,1315.270996,300636.4063,302609,1777.304565,1779.747437,71.0220108,75.8272171,145.3050385,146,144,NaN,NaN,4220.880371,1789.346802,858.8237915,136.9793091,144.2239075,3589.319336,24.99257278,16.84459305,0.288418949,226.6895447,98.33621979,86.62529755,9.592867851
1311.68396,1314.43396,300490.125,303457.4063,1777.55957,1779.791626,71.05316925,75.8549118,146.3848724,147.3848724,145.3848724,NaN,NaN,4235.692383,1789.340698,856.5186157,136.9771423,144.2228546,3589.320068,24.91749382,16.84400749,0.288066179,226.688797,98.34018707,86.6555481,9.571739197
